block,floor,unit,unit_id,unit_type,parent_unit,verified,note
P2,5,502,P2-502,flat,,observed,
P2,5,503,P2-503,flat,,observed,
P2,5,504,P2-504,flat,,observed,
P2,5,505,P2-505,flat,,observed,
P2,5,506,P2-506,flat,,observed,
P2,5,507,P2-507,flat,,observed,
P2,5,508,P2-508,flat,,observed,
P2,5,509,P2-509,flat,,observed,
P2,5,510,P2-510,flat,,observed,
P2,5,511,P2-511,flat,,observed,
P2,5,512,P2-512,flat,,observed,
P2,5,513,P2-513,flat,,observed,
P2,5,514,P2-514,flat,,observed,
P2,5,515,P2-515,flat,,observed,
P2,5,516,P2-516,flat,,observed,
P2,6,601,P2-601,flat,,observed,
P2,6,602,P2-602,flat,,observed,
P2,6,603,P2-603,flat,,observed,
P2,6,604,P2-604,flat,,observed,
P2,6,605,P2-605,flat,,observed,
P2,6,606,P2-606,flat,,observed,
P2,6,607,P2-607,flat,,observed,
P2,6,608,P2-608,flat,,observed,
P2,6,609,P2-609,flat,,observed,
P2,6,610,P2-610,flat,,observed,
P2,6,611,P2-611,flat,,observed,fell in a screenshot scroll gap - unverified
P2,6,612,P2-612,flat,,observed,fell in a screenshot scroll gap - unverified
P2,6,613,P2-613,flat,,observed,fell in a screenshot scroll gap - unverified
P2,6,614,P2-614,flat,,observed,
P2,6,615,P2-615,flat,,observed,
P2,6,616,P2-616,flat,,observed,
P2,7,701,P2-701,flat,,observed,
P2,7,702,P2-702,flat,,observed,
P2,7,703,P2-703,flat,,observed,
P2,7,704,P2-704,flat,,observed,
P2,7,705,P2-705,flat,,observed,
P2,7,706,P2-706,flat,,observed,
P2,7,707,P2-707,flat,,observed,
P2,7,708,P2-708,flat,,observed,
P2,7,709,P2-709,flat,,observed,
P2,7,710,P2-710,flat,,observed,
P2,7,711,P2-711,flat,,observed,
P2,7,712,P2-712,flat,,observed,
P2,7,713,P2-713,flat,,observed,
P2,7,714,P2-714,flat,,observed,
P2,7,715,P2-715,flat,,observed,
P2,7,716,P2-716,flat,,observed,
P2,8,801,P2-801,flat,,observed,
P2,8,802,P2-802,flat,,observed,
P2,8,803,P2-803,flat,,observed,
P2,8,804,P2-804,flat,,observed,
P2,8,805,P2-805,flat,,observed,
P2,8,806,P2-806,flat,,observed,
P2,8,807,P2-807,flat,,observed,
P2,8,808,P2-808,flat,,observed,
P2,8,809,P2-809,flat,,observed,
P2,8,810,P2-810,flat,,observed,
P2,8,811,P2-811,flat,,observed,
P2,8,812,P2-812,flat,,observed,
P2,8,813,P2-813,flat,,observed,fell in a screenshot scroll gap - unverified
P2,8,814,P2-814,flat,,observed,
P2,8,815,P2-815,flat,,observed,
P2,8,816,P2-816,flat,,observed,
P2,9,901,P2-901,flat,,observed,
